"country_region"	"estimated_gdp"	"gdp_year_estimate"	"kg_per_capita"
"liechtenstein_Europe"	175814	2019	NA
"monaco_Europe"	190513	2019	NA
"luxembourg_Europe"	115874	2020	NA
"bermuda_Americas"	107080	2020	NA
"ireland_Europe"	85268	2020	7.9
"cayman.islands_Americas"	85083	2020	NA
"switzerland_Europe"	87097	2020	8.8
"norway_Europe"	67390	2020	5.8
"united.states_Americas"	63414	2020	4.4
"iceland_Europe"	59270	2020	NA
"denmark_Europe"	61063	2020	4.9
"singapore_Asia"	59798	2020	NA
"australia_Oceania"	51693	2020	4.9
"qatar_Asia"	50124	2020	NA
"sweden_Europe"	52274	2020	6.6
"netherlands_Europe"	52397	2020	NA
"greenland_Americas"	53041	2019	NA
"austria_Europe"	48587	2020	8.1
"finland_Europe"	48773	2020	5.4
"canada_Americas"	43258	2020	NA
"san.marino_Europe"	47731	2019	NA
"germany_Europe"	46208	2020	7.9
"belgium_Europe"	45159	2020	5.6
"israel_Asia"	44169	2020	NA
"hong.kong_Asia"	46324	2020	NA
"british.virgin.islands_Americas"	NA	NA	NA
"new.zealand_Oceania"	41442	2020	5
"united.kingdom_Europe"	41125	2020	NA
"france_Europe"	39030	2020	4.3
"united.arab.emirates_Asia"	36285	2020	NA
"macau_Asia"	39403	2020	NA
"japan_Asia"	40193	2020	1.2
"andorra_Europe"	40897	2019	NA
"italy_Europe"	31714	2020	NA
"south.korea_Asia"	31632	2020	NA
"guam_Oceania"	34624	2020	NA
"puerto.rico_Americas"	32291	2020	NA
"new.caledonia_Oceania"	34789	2019	NA
"brunei_Asia"	27443	2020	NA
"taiwan_Asia"	NA	NA	NA
"malta_Europe"	27885	2020	NA
"spain_Europe"	27063	2020	NA
"cyprus_Europe"	26624	2020	NA
"slovenia_Europe"	25517	2020	NA
"kuwait_Asia"	24812	2020	NA
"bahamas_Americas"	25194	2020	NA
"estonia_Europe"	23027	2020	6.5
"bahrain_Asia"	20410	2020	NA
"czech.republic_Europe"	22932	2020	4.9
"aruba_Americas"	30253	2018	NA
"portugal_Europe"	22176	2020	NA
"turks.and.caicos.islands_Americas"	23880	2020	NA
"saudi.arabia_Asia"	20110	2020	NA
"lithuania_Europe"	20234	2020	NA
"slovakia_Europe"	19267	2020	5.2
"french.polynesia_Oceania"	14324	2000	NA
"northern.mariana.islands_Oceania"	20660	2019	NA
"sint.maarten_Americas"	29160	2018	NA
"greece_Europe"	17623	2020	NA
"latvia_Europe"	17726	2020	NA
"hungary_Europe"	15981	2020	NA
"oman_Asia"	12660	2020	NA
"poland_Europe"	15721	2020	5.7
"anguilla_Americas"	NA	NA	NA
"uruguay_Americas"	15438	2020	NA
"saint.kitts.and.nevis_Americas"	18438	2020	NA
"chile_Americas"	13232	2020	NA
"cook.islands_Oceania"	NA	NA	NA
"barbados_Americas"	15374	2020	NA
"curaçao_Americas"	16746	2020	NA
"croatia_Europe"	14134	2020	NA
"trinidad.and.tobago_Americas"	15426	2020	NA
"romania_Europe"	12896	2020	NA
"antigua.and.barbuda_Americas"	13993	2020	NA
"panama_Americas"	12510	2020	NA
"montserrat_Americas"	NA	NA	NA
"seychelles_Africa"	10764	2020	NA
"american.samoa_Oceania"	12845	2020	NA
"iran_Asia"	2423	2020	NA
"maldives_Asia"	6924	2020	NA
"china_Asia"	10435	2020	0.1
"costa.rica_Americas"	12141	2020	NA
"palau_Oceania"	14244	2020	NA
"bulgaria_Europe"	10079	2020	NA
"russia_Europe"	10127	2020	4.8
"malaysia_Asia"	10412	2020	NA
"kazakhstan_Asia"	9122	2020	NA
"nauru_Oceania"	10580	2020	NA
"mexico_Americas"	8329	2020	NA
"argentina_Americas"	8579	2020	NA
"grenada_Americas"	9262	2020	NA
"cuba_Americas"	9478	2020	NA
"saint.lucia_Americas"	8805	2020	NA
"turkey_Asia"	8536	2020	NA
"guyana_Americas"	6956	2020	NA
"lebanon_Asia"	4650	2020	NA
"turkmenistan_Asia"	7612	2019	NA
"montenegro_Europe"	7677	2020	NA
"serbia_Europe"	7721	2020	NA
"mauritius_Africa"	8628	2020	NA
"equatorial.guinea_Africa"	7143	2020	NA
"gabon_Africa"	7006	2020	NA
"dominican.republic_Americas"	7268	2020	NA
"thailand_Asia"	7189	2020	NA
"dominica_Americas"	7268	2020	NA
"brazil_Americas"	6797	2020	1.2
"botswana_Africa"	6711	2020	NA
"belarus_Europe"	6411	2020	NA
"saint.vincent.and.the.grenadines_Americas"	7298	2020	NA
"south.africa_Africa"	5091	2020	0.9
"macedonia_Europe"	5888	2020	NA
"peru_Americas"	6127	2020	NA
"bosnia.and.herzegovina_Europe"	6032	2020	NA
"tuvalu_Oceania"	4143	2020	NA
"colombia_Americas"	5333	2020	NA
"ecuador_Americas"	5600	2020	NA
"albania_Europe"	5215	2020	NA
"jamaica_Americas"	4665	2020	NA
"azerbaijan_Asia"	4214	2020	NA
"fiji_Oceania"	4882	2020	NA
"paraguay_Americas"	4950	2020	NA
"tonga_Oceania"	4903	2019	NA
"kosovo_Europe"	4287	2020	NA
"iraq_Asia"	4158	2020	NA
"georgia_Asia"	4279	2020	NA
"moldova_Europe"	4551	2020	NA
"namibia_Africa"	4211	2020	NA
"suriname_Americas"	6491	2020	NA
"armenia_Asia"	4268	2020	NA
"guatemala_Americas"	4603	2020	NA
"belize_Americas"	4436	2020	NA
"jordan_Asia"	4283	2020	NA
"ukraine_Europe"	3727	2020	NA
"marshall.islands_Oceania"	4073	2019	NA
"el.salvador_Americas"	3799	2020	NA
"indonesia_Asia"	3870	2020	NA
"mongolia_Asia"	4007	2020	NA
"libya_Africa"	3699	2020	NA
"eswatini_Africa"	3416	2020	NA
"samoa_Oceania"	4068	2020	NA
"federated.states.of.micronesia_Oceania"	3585	2019	NA
"egypt_Africa"	3548	2020	NA
"vietnam_Asia"	2786	2020	NA
"sri.lanka_Asia"	3682	2020	NA
"djibouti_Africa"	3426	2020	NA
"algeria_Africa"	3310	2020	NA
"tunisia_Africa"	3320	2020	NA
"philippines_Asia"	3299	2020	NA
"morocco_Africa"	3009	2020	NA
"cabo.verde_Africa"	3064	2020	NA
"palestine_Asia"	3240	2020	NA
"bhutan_Asia"	3122	2020	NA
"bolivia_Americas"	3143	2020	NA
"vanuatu_Oceania"	2783	2020	NA
"papua.new.guinea_Oceania"	2637	2020	NA
"democratic.republic.of.the.congo_Africa"	1973	2020	NA
"laos_Asia"	2630	2020	NA
"honduras_Americas"	2406	2020	NA
"ivory.coast_Africa"	2326	2020	NA
"ghana_Africa"	2329	2020	NA
"sao.tome.and.principe_Africa"	2158	2020	NA
"solomon.islands_Oceania"	2258	2020	NA
"nigeria_Africa"	2097	2020	NA
"angola_Africa"	1896	2020	NA
"kenya_Africa"	1838	2020	NA
"mauritania_Africa"	1673	2020	NA
"bangladesh_Asia"	1969	2020	NA
"india_Asia"	1901	2020	NA
"nicaragua_Americas"	1905	2020	NA
"kiribati_Oceania"	1671	2020	NA
"uzbekistan_Asia"	1686	2020	NA
"haiti_Americas"	1177	2020	NA
"zimbabwe_Africa"	1128	2020	NA
"cambodia_Asia"	1513	2020	NA
"cameroon_Africa"	1499	2020	NA
"venezuela_Americas"	16056	2014	NA
"senegal_Africa"	1488	2020	NA
"benin_Africa"	1291	2020	NA
"comoros_Africa"	1403	2020	NA
"timor-leste_Asia"	1381	2020	NA
"pakistan_Asia"	1194	2020	NA
"myanmar_Asia"	1400	2020	NA
"kyrgyzstan_Asia"	1174	2020	NA
"lesotho_Africa"	861	2020	NA
"nepal_Asia"	1155	2020	NA
"guinea_Africa"	1194	2020	NA
"tanzania_Africa"	1077	2020	NA
"zambia_Africa"	1051	2020	NA
"zanzibar_Africa"	NA	NA	NA
"uganda_Africa"	817	2020	NA
"togo_Africa"	915	2020	NA
"mali_Africa"	859	2020	NA
"ethiopia_Africa"	936	2020	NA
"burkina.faso_Africa"	831	2020	NA
"syria_Asia"	2033	2007	NA
"guinea-bissau_Africa"	728	2020	NA
"tajikistan_Asia"	859	2020	NA
"gambia_Africa"	787	2020	NA
"rwanda_Africa"	798	2020	NA
"sudan_Africa"	596	2020	NA
"chad_Africa"	615	2020	NA
"liberia_Africa"	583	2020	NA
"eritrea_Africa"	643	2011	NA
"niger_Africa"	2097	2020	NA
"north.korea_Asia"	NA	NA	NA
"republic.of.the.congo_Africa"	557	2020	NA
"afghanistan_Asia"	509	2020	NA
"yemen_Asia"	824	2018	NA
"malawi_Africa"	625	2020	NA
"sierra.leone_Africa"	485	2020	NA
"central.african.republic_Africa"	477	2020	NA
"madagascar_Africa"	496	2020	NA
"mozambique_Africa"	449	2020	NA
"somalia_Africa"	309	2020	NA
"burundi_Africa"	274	2020	NA
"south.sudan_Africa"	1120	2015	NA
"great.britain_NA"	NA	NA	7.6
"the.netherlands_NA"	NA	NA	5.1
